roof_type,panel_name,count_area,count_sim,orientation,roof_area,effective_area,gsd,offset,panel_spacing
kiritsuma_side,Sharp_NQ-256AF,230,0,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Standard_A,183,0,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Standard_B,250,0,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
yosemune_main,Sharp_NQ-256AF,102,0,vertical,151.25250000000003,133.71750000000003,0.05,0.3,0.02
yosemune_main,Standard_A,81,0,vertical,151.25250000000003,133.71750000000003,0.05,0.3,0.02
yosemune_main,Standard_B,111,0,vertical,151.25250000000003,133.71750000000003,0.05,0.3,0.02
katanagare,Sharp_NQ-256AF,200,0,vertical,281.70250000000004,261.6025000000001,0.05,0.3,0.02
katanagare,Standard_A,160,0,vertical,281.70250000000004,261.6025000000001,0.05,0.3,0.02
katanagare,Standard_B,218,0,vertical,281.70250000000004,261.6025000000001,0.05,0.3,0.02
rikuyane,Sharp_NQ-256AF,293,0,vertical,407.0275000000001,383.0275000000001,0.05,0.3,0.02
rikuyane,Standard_A,234,0,vertical,407.0275000000001,383.0275000000001,0.05,0.3,0.02
rikuyane,Standard_B,319,0,vertical,407.0275000000001,383.0275000000001,0.05,0.3,0.02
kiritsuma_side,Sharp_NQ-256AF,230,198,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Standard_A,183,162,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Standard_B,250,216,horizontal,321.80250000000007,300.50250000000005,0.05,0.3,0.02
yosemune_main,Sharp_NQ-256AF,102,421,horizontal,151.25250000000003,133.71750000000003,0.05,0.3,0.02
yosemune_main,Standard_A,81,402,horizontal,151.25250000000003,133.71750000000003,0.05,0.3,0.02
yosemune_main,Standard_B,111,491,horizontal,151.25250000000003,133.71750000000003,0.05,0.3,0.02
katanagare,Sharp_NQ-256AF,200,168,horizontal,281.70250000000004,261.6025000000001,0.05,0.3,0.02
katanagare,Standard_A,160,132,horizontal,281.70250000000004,261.6025000000001,0.05,0.3,0.02
katanagare,Standard_B,218,180,horizontal,281.70250000000004,261.6025000000001,0.05,0.3,0.02
rikuyane,Sharp_NQ-256AF,293,256,horizontal,407.0275000000001,383.0275000000001,0.05,0.3,0.02
rikuyane,Standard_A,234,200,vertical,407.0275000000001,383.0275000000001,0.05,0.3,0.02
rikuyane,Standard_B,319,280,horizontal,407.0275000000001,383.0275000000001,0.05,0.3,0.02
kiritsuma_side,Sharp_NQ-256AF,230,198,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Standard_A,183,162,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Standard_B,250,216,horizontal,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Sharp_NQ-256AF,230,198,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Standard_A,183,162,vertical,321.80250000000007,300.50250000000005,0.05,0.3,0.02
kiritsuma_side,Standard_B,250,216,horizontal,321.80250000000007,300.50250000000005,0.05,0.3,0.02
rikuyane,Sharp_NQ-256AF,293,256,horizontal,407.0275000000001,383.0275000000001,0.05,0.3,0.02
rikuyane,Standard_A,234,200,vertical,407.0275000000001,383.0275000000001,0.05,0.3,0.02
rikuyane,Standard_B,319,280,horizontal,407.0275000000001,383.0275000000001,0.05,0.3,0.02
sample/a full.png,Sharp_NQ-256AF,38,10,horizontal,178.25750000000002,50.07250000000001,0.05,0.3,0.02
sample/a full.png,Standard_A,30,8,horizontal,178.25750000000002,50.07250000000001,0.05,0.3,0.02
sample/a full.png,Standard_B,41,11,vertical,178.25750000000002,50.07250000000001,0.05,0.3,0.02
